[2023-02-25 06:15:22.172] [info]  [db] Initialized DB client
[2023-02-25 06:15:22.442] [warn]  The vm module of Node.js is deprecated in the renderer process and will be removed.
[2023-02-25 06:15:22.447] [warn]  The vm module of Node.js is deprecated in the renderer process and will be removed.
[2023-02-25 06:15:23.086] [warn]  The vm module of Node.js is deprecated in the renderer process and will be removed.
[2023-02-25 06:15:23.278] [info]  {}
[2023-02-25 06:15:23.482] [info]  [FileSystemDriver] Initialized in "/home/blacky/.config/Insomnia/version-control"
[2023-02-25 06:15:23.483] [info]  [sync] checking for collections which need to be moved into a remote project
[2023-02-25 06:15:23.488] [info]  [FileSystemDriver] Initialized in "/home/blacky/.config/Insomnia/version-control"
[2023-02-25 06:22:45.678] [info]  {}
[2023-02-25 06:22:46.192] [info]  {}
[2023-02-25 06:22:46.322] [info]  {}
